Loc Tag,"Spanish"
L_SLAMBAM_UPGRADE_DESCRIPTION,"Ovejas y barriles dan monedas de agua"
THUMPBACK_UPGRADE_NAME,"Tamboriles"
THUMPBACK_UPGRADE_DESCRIPTION,"Los globos se vuelven tamboriles que explotan y dejan monedas de agua"
SS_GIANT_TEXT,"¡GIGANTE!"
HELP_SAVE_DATA,"Transferir datos"
IMPORT_SAVE_HEADER,"Transferir datos"
IMPORT_SAVE_CONTENT,"¿Quieres transferir los datos previos guardados en este dispositivo a tu cuenta de ACTIVATE?

¡Los progresos que hayas realizado con tu cuenta de ACTIVATE se sobrescribirán con los datos de este dispositivo!"
IMPORT_SAVE_CONFIRM_HEADER,"¡Aviso!"
IMPORT_SAVE_CONFIRM_CONTENT,"Se perderán los datos almacenados en la nube. ¿Seguro que quieres continuar?"
WHATS_NEW_TEXT,"¡GIGANTES!"
WHATS_NEW_TITLE,"¡NUEVO!"
CHALLENGE_SUBMIT_FAILED_MAX_RETRIES,"No se han podido subir las puntuaciones tras 60 intentos.
Lo lamentamos."
ACTIVATE_SAVE_DATA_TRANSFER_SUCCESS,"Los datos guardados previos se han transferido correctamente."
ACTIVATE_SAVE_DATA_TRANSFER_FAILURE,"No se han podido transferir los datos. Comprueba tus ajustes de Internet."
TAB_CHALLENGE_INSTRUCTIONS,"Toca una batalla para ver más información."
LOGGING_IN_ACTIVATE,"Iniciando sesión..."
SALE_DIALOG_GO,"LLÉVAME ALLÍ"
SALE_DIALOG_CLOSE,"CERRAR"
SALE_DIALOG_TITLE,"¡REBAJAS!"
SALE_DIALOG_CONTENT,"¡Visita la tienda para conseguir grandes descuentos!"
SD_COLLECTION_VAULT_TIP,"Consulta y gestiona todos tus juguetes en la Cámara de colección."
SD_COLLECTION_VAULT_BUTTON_TEXT,"¡ADELANTE!"
CLAIM_CHARACTER_NOTIFICATION,"Se ha añadido {0} a tu colección y ya lo puedes reclamar."
CLAIM_CHARACTERS_NOTIFICATION,"Se han añadido Skylanders nuevos a tu colección. ¡No olvides reclamarlos!"
CLAIM_MAGIC_ITEM_NOTIFICATION,"Se ha añadido {0} a tu colección y ya lo puedes reclamar."
CLAIM_MAGIC_ITEMS_NOTIFICATION,"Se han añadido objetos mágicos nuevos a tu colección. ¡No olvides reclamarlos!"
MAKE_GOOD_REWARD_GEMS,"¡Has conseguido {0} gemas!"
MAKE_GOOD_REWARD_COINS,"¡Has conseguido {0} monedas!"
PRIVACY_POLICY_BUTTON_TEXT,"Política de privacidad"
PRIVACY_POLICY_URL,"http://www.activision.com/privacy/es/privacy.html"
TERMS_OF_SERVICE_BUTTON_TEXT,"Condiciones del servicio"
TERMS_OF_SERVICE_URL,"http://www.activision.com/privacy/es/tos.html"
WHATS_NEW_1_8_SUMMARY_TEXT,"¡Hemos mejorado el proceso de enlace de juguetes! ¡Compartir juguetes entre partidas es ahora más fácil que nunca!"
WHATS_NEW_1_8_THANKS_TITLE_TEXT,"¡Gracias por actualizar!"
WHATS_NEW_1_8_THANKS_TEXT,"¡Vamos a regalar 40 gemas para agradeceros vuestro apoyo!"
TOY_LINK_INSTRUCTION_MAGIC_ITEM,"¡Escribe tu código único para liberar el objeto mágico!"
TOY_LINK_INSTRUCTION_SKYLANDER,"¡Escribe tu código único para liberar el Skylander!"
ACTIVATE_AUTO_LOGIN_FAILED,"No se ha podido iniciar sesión. Intenta iniciar sesión manualmente."
ACTIVATE_SYNC_FAILED,"No se han podido sincronizar los datos en la nube."
