Loc Tag,"French"
BOUNCER_UPGRADE_DESCRIPTION,"Touche les tirs pour 2x plus de pièces combo"
L_BOUNCER_UPGRADE_NAME,"Tireur d'élite légendaire"
L_BOUNCER_UPGRADE_DESCRIPTION,"Touche les tirs pour 3x plus de pièces combo"
HOTDOG_UPGRADE_NAME,"Catalyseur canin"
HOTDOG_UPGRADE_DESCRIPTION,"Les objets détruits par les tonneaux explosifs rapportent des pièces de feu"
HOTHEAD_UPGRADE_NAME,"Pyromane"
HOTHEAD_UPGRADE_DESCRIPTION,"Tous les tonneaux deviennent des tonneaux explosifs"
FRIGHTRIDER_UPGRADE_NAME,"Effort effrayant"
FRIGHTRIDER_UPGRADE_DESCRIPTION,"Les Trolls sorciers explosent quand ils sont vaincus"
CRUSHER_UPGRADE_NAME,"Séisme"
CRUSHER_UPGRADE_DESCRIPTION,"Les pièces de combo MAX détruisent tous les rochers et bombes"
L_STEALTH_ELF_UPGRADE_NAME,"Hyperactif"
L_STEALTH_ELF_UPGRADE_DESCRIPTION,"Tire vraiment très très vite !"
NINJINI_UPGRADE_NAME,"Confusion cosmique"
NINJINI_UPGRADE_DESCRIPTION,"Les sorciers commencent étourdis et le reste plus longtemps"
FLASHWING_UPGRADE_NAME,"Bouclier brutal"
FLASHWING_UPGRADE_DESCRIPTION,"Sparx tire des boucliers à pointes ainsi que des bombes"
SHROOM_BOOM_UPGRADE_NAME,"Champignon 1-Up"
SHROOM_BOOM_UPGRADE_DESCRIPTION,"Une utilisation supplémentaire d'Élixir lors de l'achat de pièces"
TREEREX_UPGRADE_NAME,"Ami pic vert"
TREEREX_UPGRADE_DESCRIPTION,"Sparx devient un pic vert qui échange des pièces contre des bombes"
EYEBRAWL_UPGRADE_NAME,"Ami œil"
EYEBRAWL_UPGRADE_DESCRIPTION,"Sparx devient un œil qui tire des projectiles ainsi que des bombes"
L_SLAMBAM_UPGRADE_NAME,"Bonus fracassant"
L_SLAMBAM_UPGRADE_DESCRIPTION,"Les moutons et les tonneaux rapportent des pièces d'eau"
THUMPBACK_UPGRADE_NAME,"Boum boum"
THUMPBACK_UPGRADE_DESCRIPTION,"Les ballons deviennent des poissons bulles qui explosent et lâchent des pièces d'eau"
SS_GIANT_TEXT,"GÉANT !"
HELP_SAVE_DATA,"Transfert données"
IMPORT_SAVE_HEADER,"Transfert données"
IMPORT_SAVE_CONTENT,"Veux-tu transférer ta sauvegarde précédente de ce périphérique sur son compte ACTIVATE ?

Ta progression actuelle sur ton compte ACTIVATE sera écrasée par les données de ce périphérique !"
IMPORT_SAVE_CONFIRM_HEADER,"Avertissement !"
IMPORT_SAVE_CONFIRM_CONTENT,"Toutes les données actuellement stockées sur le cloud seront perdues. Vraiment continuer ?"
WHATS_NEW_TEXT,"GÉANTS !"
WHATS_NEW_TITLE,"NOUVEAU!"
CHALLENGE_SUBMIT_FAILED_MAX_RETRIES,"Impossible d'envoyer le score après 60 tentatives.
Désolé."
ACTIVATE_SAVE_DATA_TRANSFER_SUCCESS,"Sauvegarde précédente transférée avec succès !"
ACTIVATE_SAVE_DATA_TRANSFER_FAILURE,"Transfert des données impossible. Merci de vérifier les paramètres Internet."
TAB_CHALLENGE_INSTRUCTIONS,"Touche un Défi pour plus de détails."
LOGGING_IN_ACTIVATE,"Connexion..."
SALE_DIALOG_GO,"AMÈNE-MOI LÀ"
SALE_DIALOG_CLOSE,"FERMER"
SALE_DIALOG_TITLE,"PROMO !"
SALE_DIALOG_CONTENT,"Découvre de super promotions dans la boutique !"
GEMPURCHASE_BEDROCK_ERROR_TITLE,"Erreur interne"
SD_COLLECTION_VAULT_TIP,"Dans le coffre de la collection, tu peux voir et gérer tous tes jouets."
SD_COLLECTION_VAULT_BUTTON_TEXT,"GO !"
CLAIM_CHARACTER_NOTIFICATION,"{0} a été ajouté à ta collection et tu peux le récupérer !"
CLAIM_CHARACTERS_NOTIFICATION,"De nouveaux Skylanders ont été ajoutés à ta collection ! Pense à les récupérer !"
CLAIM_MAGIC_ITEM_NOTIFICATION,"{0} a été ajouté à ta collection et tu peux le récupérer !"
CLAIM_MAGIC_ITEMS_NOTIFICATION,"De nouveaux objets magiques ont été ajoutés à ta collection ! Pense à les récupérer !"
MAKE_GOOD_REWARD_GEMS,"Tu as reçu {0} gemmes en récompense !"
MAKE_GOOD_REWARD_COINS,"Tu as reçu {0} pièces en récompense !"
PRIVACY_POLICY_BUTTON_TEXT,"Politique de confidentialité"
PRIVACY_POLICY_URL,"http://www.activision.com/privacy/fr/privacy.html"
TERMS_OF_SERVICE_BUTTON_TEXT,"Conditions d'utilisation"
TERMS_OF_SERVICE_URL,"http://www.activision.com/privacy/fr/tos.html"
WHATS_NEW_1_8_SUMMARY_TEXT,"Nous avons simplifié le processus d'association des jouets ! Partager des jouets entre plusieurs jeux est plus facile que jamais !"
WHATS_NEW_1_8_THANKS_TITLE_TEXT,"Merci d'avoir procédé à la mise à jour !"
WHATS_NEW_1_8_THANKS_TEXT,"Pour remercier tous les joueurs de leur soutien, nous t'offrons 40 gemmes !"
TOY_LINK_INSTRUCTION_MAGIC_ITEM,"Indique ton code à usage unique pour débloquer ton objet magique !"
TOY_LINK_INSTRUCTION_SKYLANDER,"Indique ton code à usage unique pour débloquer ton Skylander !"
ACTIVATE_AUTO_LOGIN_FAILED,"Échec de la connexion. Essaie de te connecter manuellement."
ACTIVATE_SYNC_FAILED,"Échec lors de la synchronisation des données cloud."
