Loc Tag,"German"
MIGRATESAVE_DISCLAIMER,"Sag "NEIN", wenn die Fortschritte von diesem Gerät später auf ein anderes ACTIVATE-Konto übertragen werden sollen. Die Übertragung ist nur einmal möglich!"
MIGRATESAVE_ONLYONCE,"Die Übertragung ist nur einmal möglich!"
CLOUDCONFLICT_HEADING,"Spielstand wählen"
CLOUDCONFLICT_EXPLANATION,"Es wurde mehr als ein Speicherdaten-Element gefunden, das mit deinem ACTIVATE-Konto verknüpft ist.
Wähle den zu benutzenden Spielstand."
CLOUDCONFLICT_RECOMMENDED,"Empfohlen"
CLOUDCONFLICT_NOTSURE,"Ich bin nicht sicher!"
CLOUDCONFLICT_MOREINFO,"(mehr Infos bitte)"
GENERIC_CHOOSE,"Wählen"
GENERIC_OR,"ODER"
CHALLENGE_MESSAGE_SEND,"Senden"
CHALLENGE_MESSAGE_CANCEL,"Abbrechen"
GIANTS_COMING_SOON,"Riesen in Kürze!"
ACTIVATE_NOTIFICATION_LOGGED_OFF,"Abgemeldet"
SHOWDOWN_STATUS_TIME_REMAINING,"Verbleibend: {0}"
SHOWDOWN_STATUS_TIME_CURRENT,"Zeit: {0}"
SHOWDOWN_NOTIFICATION_CLOSED,"Showdown ist jetzt beendet."
SHOWDOWN_NOTIFICATION_CLOSED_REWARD,"Showdown ist jetzt beendet. Sieh nach einer Belohnung!"
PORTALUI_BLUETOOTH_ENABLED,"Ist Bluetooth aktiviert?"
SS_LEGENDARY_TEXT,"Legendary"
TAG_COMING_SOON,"Bald erhältlich!"
WANTED_POSTER_TITLE,"GESUCHT"
BADGE_LEVEL,"STUFE"
L_JETVAC_UPGRADE_NAME,"Legendary Vac-Attacke"
L_JETVAC_UPGRADE_DESCRIPTION,"Riesige Chance auf Multiplikator von magischer Objektfabrik."
CHILL_UPGRADE_NAME,"Winterviertel"
CHILL_UPGRADE_DESCRIPTION,"Schild taucht häufiger auf"
L_CHILL_UPGRADE_NAME,"Fleißiger Verteidiger"
L_CHILL_UPGRADE_DESCRIPTION,"Schild funktioniert 2-mal hintereinander"
SPROCKET_UPGRADE_NAME,"Sparx-Stecker"
SPROCKET_UPGRADE_DESCRIPTION,"Sparx taucht häufiger auf"
L_IGNITOR_UPGRADE_NAME,"Legendary-Arsenal"
L_IGNITOR_UPGRADE_DESCRIPTION,"Geistschwert taucht sehr oft auf"
SWARM_UPGRADE_NAME,"Hornissen-Hindernis"
SWARM_UPGRADE_DESCRIPTION,"Verlangsamt Spitzbomben und Geschosse"
BOUNCER_UPGRADE_NAME,"Scharfschütze"
BOUNCER_UPGRADE_DESCRIPTION,"Schießen anzutippen bringt 2-mal Kombo-Münzen"
L_BOUNCER_UPGRADE_NAME,"Legendary-Scharfschütze"
L_BOUNCER_UPGRADE_DESCRIPTION,"Schießen antippen bringt 3-mal Kombo-Münzen"
HOTDOG_UPGRADE_NAME,"Hundekatalysator"
HOTDOG_UPGRADE_DESCRIPTION,"Mit explosiven Fässern zerstörte Sachen bringen Feuer-Münzen"
HOTHEAD_UPGRADE_NAME,"Pyromane"
HOTHEAD_UPGRADE_DESCRIPTION,"Alle Fässer werden zu explosiven Fässern"
FRIGHTRIDER_UPGRADE_NAME,"Furchtbares Feedback"
FRIGHTRIDER_UPGRADE_DESCRIPTION,"Troll-Zauberer explodieren, wenn sie besiegt werden"
CRUSHER_UPGRADE_NAME,"Erdbeben"
CRUSHER_UPGRADE_DESCRIPTION,"Maximale Kombo-Münzen zerstören alle Felsen und Bomben"
L_STEALTH_ELF_UPGRADE_NAME,"Hyperaktiv"
L_STEALTH_ELF_UPGRADE_DESCRIPTION,"Schieß mit Super-Tempo!"
NINJINI_UPGRADE_NAME,"Kosmische Konfusion"
NINJINI_UPGRADE_DESCRIPTION,"Zauberer ist zu Beginn und länger schwindelig"
FLASHWING_UPGRADE_NAME,"Schmetterschild"
FLASHWING_UPGRADE_DESCRIPTION,"Sparx verschießt spitze Schilde und Bomben"
SHROOM_BOOM_UPGRADE_NAME,"+1-Pilz"
SHROOM_BOOM_UPGRADE_DESCRIPTION,"Ein zusätzlicher Einsatz von Heilelixier beim Münzkauf"
TREEREX_UPGRADE_NAME,"Kumpel Specht"
TREEREX_UPGRADE_DESCRIPTION,"Sparx wird zu einem Specht, der Münzen gegen Bomben tauscht"
EYEBRAWL_UPGRADE_NAME,"Augenkumpel"
EYEBRAWL_UPGRADE_DESCRIPTION,"Sparx wird zu einem Augapfel und verschießt Geschosse und Bomben"
L_SLAMBAM_UPGRADE_NAME,"Bonus-Schläger"
L_SLAMBAM_UPGRADE_DESCRIPTION,"Schafe und Fässer bringen Wasser-Münzen"
THUMPBACK_UPGRADE_NAME,"Kugelrund"
THUMPBACK_UPGRADE_DESCRIPTION,"Ballons werden zu Kugelfischen, die explodieren und Wasser-Münzen hinterlassen"
SS_GIANT_TEXT,"RIESE!"
HELP_SAVE_DATA,"Daten übertragen"
IMPORT_SAVE_HEADER,"Daten übertragen"
IMPORT_SAVE_CONTENT,"Möchtest du die bisherigen Speicherdaten von deinem Gerät auf dein ACTIVATE-Konto übertragen?

Jegliche Fortschritte in deinem ACTIVATE-Konto werden dabei mit den Daten von diesem Gerät überschrieben!"
IMPORT_SAVE_CONFIRM_HEADER,"Warnung!"
IMPORT_SAVE_CONFIRM_CONTENT,"Bestehende Daten aus der Cloud gehen dabei verloren. Wirklich fortfahren?"
WHATS_NEW_TEXT,"RIESEN!"
WHATS_NEW_TITLE,"NEU!"
CHALLENGE_SUBMIT_FAILED_MAX_RETRIES,"Punkte konnten nach 60 Versuchen nicht hochgeladen werden.
Entschuldigung."
ACTIVATE_SAVE_DATA_TRANSFER_SUCCESS,"Vorherige Speicherdaten erfolgreich übertragen!"
ACTIVATE_SAVE_DATA_TRANSFER_FAILURE,"Daten konnten nicht übertragen werden. Bitte überprüfe deine Internet-Einstellungen."
TAB_CHALLENGE_INSTRUCTIONS,"Berühre einen Showdown, um dir die Details anzusehen."
LOGGING_IN_ACTIVATE,"Anmeldung ..."
SALE_DIALOG_GO,"BRING MICH HIN"
SALE_DIALOG_CLOSE,"SCHLIESSEN"
SALE_DIALOG_TITLE,"AKTION!"
SALE_DIALOG_CONTENT,"Besuche den Laden für tolle Sparangebote!"
SD_COLLECTION_VAULT_TIP,"Deine Spielzeuge kannst du dir in der Sammlungskammer ansehen und verwalten!"
SD_COLLECTION_VAULT_BUTTON_TEXT,"LOS!"
CLAIM_CHARACTER_NOTIFICATION,"{0} wurde deiner Sammlung hinzugefügt und kann in Anspruch genommen werden!"
CLAIM_CHARACTERS_NOTIFICATION,"Deiner Sammlung wurden neue Skylander hinzugefügt! Nimm sie in Anspruch!"
CLAIM_MAGIC_ITEM_NOTIFICATION,"{0} wurde deiner Sammlung hinzugefügt und kann in Anspruch genommen werden!"
CLAIM_MAGIC_ITEMS_NOTIFICATION,"Deiner Sammlung wurden neue magische Objekte hinzugefügt! Nimm sie in Anspruch!"
MAKE_GOOD_REWARD_GEMS,"Du hast {0} Edelsteine erhalten!"
MAKE_GOOD_REWARD_COINS,"Du hast {0} Münzen erhalten!"
PRIVACY_POLICY_BUTTON_TEXT,"Datenschutzbestimmungen"
PRIVACY_POLICY_URL,"http://www.activision.com/privacy/de/privacy.html"
TERMS_OF_SERVICE_BUTTON_TEXT,"Nutzungsbedingungen"
TERMS_OF_SERVICE_URL,"http://www.activision.com/privacy/de/tos.html"
WHATS_NEW_1_8_SUMMARY_TEXT,"Wir haben den Verknüpfungsprozess für Spielzeuge optimiert! Jetzt ist es leichter denn je, Spielzeuge zwischen Spielen zu teilen!"
WHATS_NEW_1_8_THANKS_TITLE_TEXT,"Danke fürs Updaten!"
WHATS_NEW_1_8_THANKS_TEXT,"Als Dank für eure Hilfe schenken wir euch 40 Edelsteine!"
TOY_LINK_INSTRUCTION_MAGIC_ITEM,"Gib deinen einzigartigen Code ein, um dein magisches Objekt freizuschalten!"
TOY_LINK_INSTRUCTION_SKYLANDER,"Gib deinen einzigartigen Code ein, um deinen Skylander freizuschalten!"
ACTIVATE_AUTO_LOGIN_FAILED,"Anmeldung fehlgeschlagen. Bitte melde dich manuell an."
ACTIVATE_SYNC_FAILED,"Cloud-Daten konnten nicht synchronisiert werden."
