Loc Tag,"Italian"
TREEREX_UPGRADE_DESCRIPTION,"Sparx diventa un picchio che trasforma le bombe in monete"
EYEBRAWL_UPGRADE_NAME,"Occhio di riguardo"
EYEBRAWL_UPGRADE_DESCRIPTION,"Sparx diventa un occhio e spara proiettili oltre che bombe"
L_SLAMBAM_UPGRADE_NAME,"Incetta di bonus"
L_SLAMBAM_UPGRADE_DESCRIPTION,"Pecore e barili rilasciano monete Acqua"
THUMPBACK_UPGRADE_NAME,"Pesci palla"
THUMPBACK_UPGRADE_DESCRIPTION,"I palloncini diventano pesci palla che esplodono rilasciando monete Acqua"
SS_GIANT_TEXT,"GIGANTE!"
HELP_SAVE_DATA,"Trasferisci dati"
IMPORT_SAVE_HEADER,"Trasferisci dati"
IMPORT_SAVE_CONTENT,"Vuoi trasferire i dati salvati su questo dispositivo al tuo account ACTIVATE?

I dati del dispositivo andranno a sovrascrivere tutti gli eventuali progressi nel tuo account ACTIVATE!"
IMPORT_SAVE_CONFIRM_HEADER,"Attenzione!"
IMPORT_SAVE_CONFIRM_CONTENT,"I dati archiviati nella nuvola andranno persi. Sei sicuro di voler continuare?"
WHATS_NEW_TEXT,"GIGANTI!"
WHATS_NEW_TITLE,"NUOVO!"
CHALLENGE_SUBMIT_FAILED_MAX_RETRIES,"Impossibile caricare il punteggio, 60 tentativi falliti.
Spiacenti."
ACTIVATE_SAVE_DATA_TRANSFER_SUCCESS,"Trasferimento dati salvati effettuato con successo!"
ACTIVATE_SAVE_DATA_TRANSFER_FAILURE,"Trasferimento dati non riuscito. Verificare le impostazioni di connessione."
TAB_CHALLENGE_INSTRUCTIONS,"Tocca un Duello per visualizzare i dettagli."
LOGGING_IN_ACTIVATE,"Accesso..."
SALE_DIALOG_GO,"PORTAMI LÌ"
SALE_DIALOG_CLOSE,"CHIUDI"
SALE_DIALOG_TITLE,"SALDI!"
SALE_DIALOG_CONTENT,"Controlla il Negozio per risparmiare!"
GEMPURCHASE_BEDROCK_ERROR_TITLE,"Errore interno"
SD_COLLECTION_VAULT_TIP,"Guarda e gestisci tutti i tuoi giocattoli nel Caveau!"
SD_COLLECTION_VAULT_BUTTON_TEXT,"VIA!"
CLAIM_CHARACTER_NOTIFICATION,"{0}: aggiunto alla tua collezione e pronto per essere richiesto!"
CLAIM_CHARACTERS_NOTIFICATION,"Nuovi Skylander aggiunti alla tua collezione! Assicurati di richiederli!"
CLAIM_MAGIC_ITEM_NOTIFICATION,"{0}: aggiunto alla tua collezione e pronto per essere richiesto!"
CLAIM_MAGIC_ITEMS_NOTIFICATION,"Nuovi Oggetti magici aggiunti alla tua collezione! Assicurati di richiederli!"
MAKE_GOOD_REWARD_GEMS,"Hai ottenuto {0} gemme!"
MAKE_GOOD_REWARD_COINS,"Hai ottenuto {0} monete!"
PRIVACY_POLICY_BUTTON_TEXT,"Politica sulla privacy"
PRIVACY_POLICY_URL,"http://www.activision.com/privacy/it/privacy.html"
TERMS_OF_SERVICE_BUTTON_TEXT,"Termini di servizio"
TERMS_OF_SERVICE_URL,"http://www.activision.com/privacy/it/tos.html"
WHATS_NEW_1_8_SUMMARY_TEXT,"Abbiamo migliorato il processo di collegamento dei giocattoli! Condividere i giocattoli tra i giochi è ora più facile che mai!"
WHATS_NEW_1_8_THANKS_TITLE_TEXT,"Grazie per aver aggiornato!"
WHATS_NEW_1_8_THANKS_TEXT,"Per ringraziare tutti del vostro sostegno, vi regaliamo 40 gemme!"
TOY_LINK_INSTRUCTION_MAGIC_ITEM,"Immetti il codice singolo per sbloccare l'Oggetto magico!"
TOY_LINK_INSTRUCTION_SKYLANDER,"Immetti il codice singolo per sbloccare lo Skylander!"
ACTIVATE_AUTO_LOGIN_FAILED,"Accesso fallito. Prova a effettuare l'accesso manuale."
ACTIVATE_SYNC_FAILED,"Impossibile sincronizzare i dati nel cloud."
